symbol,combination,output_size,window_size,data_mode,drop_out,val_score,test_score,balance_score
AAPL,random_forest2_svm2_lstm1_news2,3,14,2,0.2,0.5,0.3829787234042553,0.3684210526315789
AAPL,random_forest2_lstm1,3,14,2,0.2,0.6,0.40425531914893614,0.39473684210526316
AAPL,random_forest2_lstm1,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,random_forest2_news2,3,14,2,0.0,0.55,0.40425531914893614,0.39473684210526316
AAPL,random_forest2_news2,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,svm2_xgboost2,3,14,2,0.0,0.55,0.40425531914893614,0.5
AAPL,svm2_xgboost2,3,14,2,0.2,0.55,0.40425531914893614,0.5
AAPL,svm2_xgboost2,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,svm2_news2,3,14,2,0.0,0.55,0.40425531914893614,0.5
AAPL,svm2_news2,3,14,2,0.2,0.15,0.40425531914893614,0.2631578947368421
AAPL,svm2_news2,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,xgboost2_news2,3,14,2,0.0,0.55,0.40425531914893614,0.5
AAPL,lstm1_news2,3,14,2,0.0,0.55,0.40425531914893614,0.5
AAPL,lstm1_news2,3,14,2,0.2,0.55,0.40425531914893614,0.5
AAPL,svm2_lstm1_news2,3,14,2,0.2,0.55,0.40425531914893614,0.5
AAPL,random_forest2_svm2_xgboost2_news2,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,random_forest2_svm2_xgboost2_lstm1_news2,3,14,2,0.5,0.55,0.40425531914893614,0.5
AAPL,random_forest2_svm2,3,14,2,0.5,0.65,0.425531914893617,0.5263157894736842
AAPL,random_forest2_svm2_lstm1_news2,3,14,2,0.5,0.175,0.425531914893617,0.34210526315789475
AAPL,random_forest2_xgboost2,3,14,2,0.5,0.325,0.44680851063829785,0.3684210526315789
AAPL,xgboost2_news2,3,14,2,0.5,0.325,0.44680851063829785,0.3684210526315789
AAPL,svm2_xgboost2_lstm1,3,14,2,0.5,0.625,0.44680851063829785,0.5526315789473685
AAPL,xgboost2_lstm1_news2,3,14,2,0.5,0.325,0.44680851063829785,0.3684210526315789
AAPL,random_forest2_svm2_xgboost2_lstm1,3,14,2,0.5,0.675,0.44680851063829785,0.5526315789473685
AAPL,svm2_xgboost2_lstm1_news2,3,14,2,0.2,0.625,0.44680851063829785,0.5526315789473685
AAPL,svm2_lstm1_news2,3,14,2,0.5,0.65,0.46808510638297873,0.5526315789473685
AAPL,random_forest2_svm2_xgboost2_lstm1_news2,3,14,2,0.2,0.625,0.48936170212765956,0.5263157894736842
AAPL,random_forest2_xgboost2,3,14,2,0.0,0.45,0.5106382978723404,0.39473684210526316
AAPL,random_forest2_svm2_xgboost2,3,14,2,0.0,0.625,0.5106382978723404,0.5263157894736842
AAPL,random_forest2_xgboost2_news2,3,14,2,0.2,0.45,0.5106382978723404,0.39473684210526316
AAPL,random_forest2_xgboost2_lstm1_news2,3,14,2,0.2,0.4,0.5106382978723404,0.39473684210526316
AAPL,random_forest2_xgboost2,3,14,2,0.2,0.325,0.5319148936170213,0.47368421052631576
AAPL,xgboost2_news2,3,14,2,0.2,0.675,0.5531914893617021,0.631578947368421
AAPL,svm2_xgboost2_lstm1,3,14,2,0.2,0.675,0.5531914893617021,0.631578947368421
AAPL,svm2_xgboost2_news2,3,14,2,0.2,0.375,0.5531914893617021,0.4473684210526316
AAPL,xgboost2_lstm1_news2,3,14,2,0.0,0.675,0.5531914893617021,0.631578947368421
AAPL,xgboost2_lstm1_news2,3,14,2,0.2,0.675,0.5531914893617021,0.631578947368421
AAPL,random_forest2_xgboost2_lstm1_news2,3,14,2,0.0,0.45,0.5531914893617021,0.39473684210526316
AAPL,random_forest2_xgboost2_lstm1_news2,3,14,2,0.5,0.675,0.5531914893617021,0.631578947368421
AAPL,svm2_xgboost2_lstm1_news2,3,14,2,0.0,0.825,0.5531914893617021,0.7105263157894737
AAPL,random_forest2_svm2_xgboost2,3,14,2,0.5,0.45,0.574468085106383,0.5263157894736842
AAPL,random_forest2_svm2_lstm1,3,14,2,0.5,0.35,0.574468085106383,0.47368421052631576
AAPL,svm2_xgboost2_news2,3,14,2,0.5,0.725,0.574468085106383,0.7105263157894737
AAPL,random_forest2_svm2_xgboost2_news2,3,14,2,0.2,0.75,0.574468085106383,0.7105263157894737
AAPL,random_forest2_svm2_lstm1_news2,3,14,2,0.0,0.725,0.574468085106383,0.7105263157894737
AAPL,random_forest2_svm2,3,14,2,0.0,0.85,0.5957446808510638,0.7368421052631579
AAPL,random_forest2_svm2,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,random_forest2_lstm1,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_news2,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,svm2_lstm1,3,14,2,0.0,0.85,0.5957446808510638,0.7368421052631579
AAPL,svm2_lstm1,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,svm2_lstm1,3,14,2,0.5,0.45,0.5957446808510638,0.5
AAPL,xgboost2_lstm1,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,xgboost2_lstm1,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,xgboost2_lstm1,3,14,2,0.5,0.45,0.5957446808510638,0.5
AAPL,lstm1_news2,3,14,2,0.5,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_lstm1,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_lstm1,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_news2,3,14,2,0.0,0.775,0.5957446808510638,0.6578947368421053
AAPL,random_forest2_svm2_news2,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_news2,3,14,2,0.5,0.825,0.5957446808510638,0.7368421052631579
AAPL,random_forest2_xgboost2_lstm1,3,14,2,0.0,0.4,0.5957446808510638,0.6052631578947368
AAPL,random_forest2_xgboost2_lstm1,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,random_forest2_xgboost2_lstm1,3,14,2,0.5,0.425,0.5957446808510638,0.6052631578947368
AAPL,random_forest2_xgboost2_news2,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_xgboost2_news2,3,14,2,0.5,0.45,0.5957446808510638,0.5
AAPL,random_forest2_lstm1_news2,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_lstm1_news2,3,14,2,0.2,0.45,0.5957446808510638,0.5
AAPL,random_forest2_lstm1_news2,3,14,2,0.5,0.45,0.5957446808510638,0.5
AAPL,svm2_xgboost2_lstm1,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,svm2_xgboost2_news2,3,14,2,0.0,0.55,0.5957446808510638,0.5526315789473685
AAPL,svm2_lstm1_news2,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_xgboost2_lstm1,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,random_forest2_svm2_xgboost2_lstm1,3,14,2,0.2,0.775,0.5957446808510638,0.7368421052631579
AAPL,random_forest2_svm2_xgboost2_news2,3,14,2,0.0,0.45,0.5957446808510638,0.5
AAPL,svm2_xgboost2_lstm1_news2,3,14,2,0.5,0.75,0.5957446808510638,0.6842105263157895
AAPL,random_forest2_svm2_xgboost2_lstm1_news2,3,14,2,0.0,0.55,0.5957446808510638,0.5526315789473685
AAPL,random_forest2_svm2_xgboost2,3,14,2,0.2,0.5,0.6170212765957447,0.631578947368421
AAPL,random_forest1_svm1,7,7,2,0.0,0.475,0.32,0.5
AAPL,random_forest1_xgboost2,7,7,2,0.2,0.475,0.32,0.5
AAPL,random_forest1_xgboost2,7,7,2,0.5,0.475,0.32,0.5
AAPL,random_forest1_lstm2,7,7,2,0.0,0.475,0.32,0.5
AAPL,random_forest1_news2,7,7,2,0.2,0.5,0.32,0.5
AAPL,random_forest1_news2,7,7,2,0.5,0.475,0.32,0.5
AAPL,svm1_lstm2,7,7,2,0.2,0.475,0.32,0.5
AAPL,xgboost2_lstm2,7,7,2,0.0,0.45,0.32,0.5
AAPL,xgboost2_lstm2,7,7,2,0.2,0.475,0.32,0.5
AAPL,xgboost2_lstm2,7,7,2,0.5,0.475,0.32,0.5
AAPL,random_forest1_svm1_xgboost2,7,7,2,0.5,0.725,0.32,0.4375
AAPL,random_forest1_svm1_lstm2,7,7,2,0.5,0.475,0.32,0.5
AAPL,random_forest1_svm1_news2,7,7,2,0.0,0.475,0.32,0.5
AAPL,random_forest1_xgboost2_lstm2,7,7,2,0.0,0.475,0.32,0.5
AAPL,random_forest1_xgboost2_news2,7,7,2,0.2,0.475,0.32,0.5
AAPL,random_forest1_xgboost2_news2,7,7,2,0.5,0.475,0.32,0.5
AAPL,random_forest1_lstm2_news2,7,7,2,0.0,0.475,0.32,0.5
AAPL,xgboost2_lstm2_news2,7,7,2,0.5,0.475,0.32,0.5
AAPL,svm1_xgboost2,7,7,2,0.2,0.15,0.34,0.34375
AAPL,random_forest1_svm1,7,7,2,0.2,0.85,0.36,0.46875
AAPL,random_forest1_xgboost2,7,7,2,0.0,0.75,0.36,0.4375
AAPL,random_forest1_lstm2,7,7,2,0.2,0.85,0.36,0.46875
AAPL,random_forest1_xgboost2_lstm2,7,7,2,0.5,0.75,0.36,0.4375
AAPL,random_forest1_lstm2_news2,7,7,2,0.2,0.85,0.36,0.46875
AAPL,svm1_xgboost2_news2,7,7,2,0.2,0.55,0.36,0.46875
AAPL,random_forest1_xgboost2_lstm2_news2,7,7,2,0.5,0.725,0.36,0.46875
AAPL,svm1_xgboost2,7,7,2,0.5,0.725,0.38,0.53125
AAPL,xgboost2_news2,7,7,2,0.0,0.725,0.38,0.53125
AAPL,xgboost2_news2,7,7,2,0.2,0.725,0.38,0.53125
AAPL,random_forest1_svm1_news2,7,7,2,0.2,0.1,0.38,0.4375
AAPL,random_forest1_xgboost2_lstm2,7,7,2,0.2,0.725,0.38,0.53125
AAPL,svm1_xgboost2_lstm2,7,7,2,0.5,0.725,0.38,0.5625
AAPL,svm1_xgboost2_news2,7,7,2,0.0,0.725,0.38,0.53125
AAPL,svm1_xgboost2_news2,7,7,2,0.5,0.725,0.38,0.53125
AAPL,random_forest1_svm1_xgboost2_news2,7,7,2,0.0,0.725,0.38,0.53125
AAPL,svm1_xgboost2_lstm2,7,7,2,0.2,0.825,0.4,0.625
AAPL,random_forest1_svm1_xgboost2_lstm2,7,7,2,0.5,0.825,0.4,0.53125
AAPL,svm1_xgboost2_lstm2_news2,7,7,2,0.5,0.5,0.4,0.4375
AAPL,random_forest1_svm1_xgboost2_lstm2_news2,7,7,2,0.0,0.825,0.4,0.625
AAPL,random_forest1_svm1_lstm2,7,7,2,0.0,0.475,0.42,0.40625
AAPL,lstm2_news2,7,7,2,0.2,0.55,0.52,0.375
AAPL,random_forest1_xgboost2_lstm2_news2,7,7,2,0.2,0.575,0.54,0.46875
AAPL,random_forest1_svm1_lstm2,7,7,2,0.2,0.525,0.58,0.59375
AAPL,random_forest1_svm1_xgboost2_lstm2,7,7,2,0.0,0.775,0.6,0.5
AAPL,random_forest1_svm1_xgboost2_news2,7,7,2,0.5,0.775,0.6,0.5
AAPL,random_forest1_svm1_news2,7,7,2,0.5,0.9,0.62,0.5625
AAPL,xgboost2_lstm2_news2,7,7,2,0.2,0.575,0.62,0.5
AAPL,random_forest1_svm1_xgboost2_lstm2,7,7,2,0.2,0.9,0.62,0.5625
AAPL,random_forest1_svm1_lstm2_news2,7,7,2,0.0,0.9,0.62,0.5625
AAPL,random_forest1_svm1_lstm2_news2,7,7,2,0.2,0.9,0.62,0.5625
AAPL,random_forest1_lstm2,7,7,2,0.5,0.175,0.64,0.46875
AAPL,xgboost2_news2,7,7,2,0.5,0.25,0.64,0.46875
AAPL,random_forest1_lstm2_news2,7,7,2,0.5,0.375,0.64,0.46875
AAPL,svm1_xgboost2_lstm2,7,7,2,0.0,0.75,0.64,0.5625
AAPL,svm1_xgboost2_lstm2_news2,7,7,2,0.2,0.75,0.64,0.5
AAPL,random_forest1_svm1,7,7,2,0.5,0.85,0.66,0.65625
AAPL,svm1_news2,7,7,2,0.2,0.85,0.66,0.65625
AAPL,svm1_lstm2_news2,7,7,2,0.5,0.85,0.66,0.65625
AAPL,xgboost2_lstm2_news2,7,7,2,0.0,0.525,0.66,0.46875
AAPL,random_forest1_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_xgboost2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_lstm2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_lstm2,7,7,2,0.5,0.525,0.68,0.5
AAPL,svm1_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_news2,7,7,2,0.5,0.525,0.68,0.5
AAPL,lstm2_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,lstm2_news2,7,7,2,0.5,0.525,0.68,0.5
AAPL,random_forest1_svm1_xgboost2,7,7,2,0.2,0.525,0.68,0.5
AAPL,random_forest1_xgboost2_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_lstm2_news2,7,7,2,0.2,0.525,0.68,0.5
AAPL,random_forest1_xgboost2_lstm2_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,svm1_xgboost2_lstm2_news2,7,7,2,0.0,0.525,0.68,0.5
AAPL,random_forest1_svm1_xgboost2_lstm2_news2,7,7,2,0.2,0.525,0.68,0.5
AAPL,svm1_lstm2_news2,7,7,2,0.0,0.625,0.7,0.53125
AAPL,random_forest1_svm1_xgboost2_news2,7,7,2,0.2,0.525,0.7,0.53125
AAPL,random_forest1_svm1_xgboost2,7,7,2,0.0,0.5,0.72,0.5625
AAPL,random_forest1_svm1_lstm2_news2,7,7,2,0.5,0.475,0.72,0.59375
AAPL,random_forest1_svm1_xgboost2_lstm2_news2,7,7,2,0.5,0.575,0.74,0.65625
AAPL,random_forest0_svm1,14,14,2,0.2,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_xgboost0,14,14,2,0.2,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_lstm2,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_news0,14,14,2,0.0,0.6388888888888888,0.1111111111111111,0.5
AAPL,random_forest0_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_xgboost0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,xgboost0_lstm2,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,xgboost0_lstm2,14,14,2,0.2,0.6111111111111112,0.1111111111111111,0.5
AAPL,xgboost0_news0,14,14,2,0.0,0.6666666666666666,0.1111111111111111,0.5
AAPL,lstm2_news0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,lstm2_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_svm1_lstm2,14,14,2,0.5,0.3333333333333333,0.1111111111111111,0.5
AAPL,random_forest0_xgboost0_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_lstm2_news0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_xgboost0_lstm2,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_lstm2_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_svm1_xgboost0_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_svm1_lstm2_news0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_svm1_lstm2_news0,14,14,2,0.2,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_xgboost0_lstm2_news0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,random_forest0_xgboost0_lstm2_news0,14,14,2,0.5,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_xgboost0_lstm2_news0,14,14,2,0.0,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_xgboost0_lstm2_news0,14,14,2,0.2,0.6111111111111112,0.1111111111111111,0.5
AAPL,svm1_xgboost0_lstm2,14,14,2,0.5,0.5,0.1388888888888889,0.375
AAPL,random_forest0_svm1_lstm2,14,14,2,0.0,0.5,0.19444444444444445,0.5
AAPL,random_forest0_xgboost0_lstm2,14,14,2,0.0,0.6111111111111112,0.19444444444444445,0.375
AAPL,random_forest0_svm1_xgboost0_lstm2,14,14,2,0.5,0.5277777777777778,0.19444444444444445,0.5
AAPL,svm1_lstm2,14,14,2,0.5,0.08333333333333333,0.2777777777777778,0.125
AAPL,svm1_news0,14,14,2,0.5,0.1388888888888889,0.3333333333333333,0.125
AAPL,svm1_xgboost0,14,14,2,0.5,0.8055555555555556,0.3888888888888889,0.875
AAPL,svm1_xgboost0_lstm2,14,14,2,0.2,0.8055555555555556,0.3888888888888889,0.875
AAPL,random_forest0_xgboost0,14,14,2,0.5,0.7777777777777778,0.4166666666666667,1.0
AAPL,xgboost0_news0,14,14,2,0.2,0.75,0.4166666666666667,0.875
AAPL,random_forest0_svm1_news0,14,14,2,0.2,0.3055555555555556,0.4166666666666667,0.0
AAPL,xgboost0_lstm2_news0,14,14,2,0.0,0.75,0.4166666666666667,0.875
AAPL,random_forest0_svm1_xgboost0,14,14,2,0.2,0.6944444444444444,0.5,1.0
AAPL,random_forest0_svm1_lstm2,14,14,2,0.2,0.19444444444444445,0.5,0.0
AAPL,random_forest0_xgboost0_lstm2_news0,14,14,2,0.2,0.6944444444444444,0.5277777777777778,1.0
AAPL,random_forest0_xgboost0,14,14,2,0.0,0.25,0.5833333333333334,0.125
AAPL,random_forest0_lstm2,14,14,2,0.2,0.6944444444444444,0.5833333333333334,1.0
AAPL,random_forest0_news0,14,14,2,0.2,0.6666666666666666,0.5833333333333334,1.0
AAPL,random_forest0_xgboost0_lstm2,14,14,2,0.5,0.6666666666666666,0.5833333333333334,0.875
AAPL,random_forest0_lstm2_news0,14,14,2,0.2,0.6944444444444444,0.5833333333333334,1.0
AAPL,xgboost0_lstm2,14,14,2,0.5,0.25,0.6111111111111112,0.125
AAPL,random_forest0_xgboost0_news0,14,14,2,0.2,0.5,0.6388888888888888,0.625
AAPL,random_forest0_svm1_xgboost0_lstm2,14,14,2,0.0,0.5277777777777778,0.6388888888888888,0.625
AAPL,random_forest0_svm1_xgboost0_lstm2,14,14,2,0.2,0.2777777777777778,0.6666666666666666,0.625
AAPL,random_forest0_lstm2,14,14,2,0.0,0.3611111111111111,0.7222222222222222,0.25
AAPL,svm1_lstm2,14,14,2,0.2,0.9166666666666666,0.7222222222222222,0.875
AAPL,random_forest0_svm1_news0,14,14,2,0.5,0.8888888888888888,0.7222222222222222,1.0
AAPL,svm1_lstm2_news0,14,14,2,0.0,0.9166666666666666,0.7222222222222222,0.875
AAPL,svm1_lstm2_news0,14,14,2,0.2,0.9166666666666666,0.7222222222222222,0.875
AAPL,svm1_xgboost0_news0,14,14,2,0.0,0.8611111111111112,0.75,0.875
AAPL,svm1_xgboost0_news0,14,14,2,0.5,0.8611111111111112,0.75,0.875
AAPL,random_forest0_svm1_news0,14,14,2,0.0,0.8333333333333334,0.7777777777777778,0.875
AAPL,random_forest0_svm1_xgboost0_lstm2_news0,14,14,2,0.0,0.8055555555555556,0.8055555555555556,0.875
AAPL,random_forest0_svm1,14,14,2,0.0,0.3888888888888889,0.8888888888888888,0.5
AAPL,random_forest0_svm1,14,14,2,0.5,0.3888888888888889,0.8888888888888888,0.5
AAPL,svm1_xgboost0,14,14,2,0.2,0.3888888888888889,0.8888888888888888,0.5
