date,symbol,source,summary,base_url,url
2022-05-16,AAPL,GuruFocus,"The company is a supplier to Apple and Samsung. Its growth is directly proportional to its increased smartphone consumption over the years, as it supplies them with new models.    Apple and Samsung are major customers of the company's products, and Samsung is one of them.",https://www.gurufocus.com,https://www.gurufocus.com/news/1712391/qorvo-inc-riding-the-smartphone-wave
2022-05-17,AAPL,Finnhub, apple and mac are the trademarks of apple inc. registered in the u.s. and other countries and are used in the U.S. and in some other countries.   Apple is a registered trademark of Apple Inc. in the United States and in the other countries  apple and mac are the trademarks of apple inc. registered in the u.s. and other countries and are used in the U.S. and in some other countries.   Apple is a registered trademark of Apple Inc. in the United States and in the other countries,https://finnhub.io,https://finnhub.io/api/news?id=595a8b7aca46cf16c023380ff57294af08094f23fab7b2a1d10f9de79f4074ec
2022-05-18,AAPL,GuruFocus,"Apple Inc. is the first company that meets the criteria. It is a manufacturer of smartphones, tablets, wearables and accessories worldwide. It's based in California, USA and sells its products in many different countries. It sells smartphones, personal computers, tablets and accessories.",https://www.gurufocus.com,https://www.gurufocus.com/news/1716448/4-stock-picks-for-a-longterm-investment-approach
2022-05-19,AAPL,GuruFocus,"The products of Apple range from the flagship mac computers to iphones ipads airpods, apple watches, apple tv and much more. today the companies products range from iphone  to ipads  and  iPads  to tv shows and music. Apple is ahead as of the fourth quarter of 2021. Samsung overtook them by the first quarter thanks to their new s22 plus. Apple is ahead because of the launch of their iphone 13. Samsung is behind because of their s22 Plus.  An apple car has been announced and could start production by 2024. Rumored Apple is in talks with Toyota for production of the vehicles. Apple does not have any prior automotive manufacturing capabilities. Apple is also rumoured to be in negotiations with Toyota regarding financial support for production.",https://www.gurufocus.com,https://www.gurufocus.com/news/1717172/michael-burry-is-shortselling-apple
2022-05-20,AAPL,Finnhub,june 6 at 10 a.m. pdt wwdc22 launches with a first look at groundbreaking updates coming to apple platforms later this year. iReport.com will have a live stream of the keynote on June 6th at 10:00 AM.,https://finnhub.io,https://finnhub.io/api/news?id=f21547b0367d2b3e16295fe17c78b94a33c922965b5772a4bfc331e4e8574b26
2022-05-21,AAPL,Finnhub,"A new analysis from the progressive policy institute sheds light on job creation in the ios app economy, as well as a separate new analysis by the Institute for Public Policy Studies. The Institute's analysis is based on data from the Institute's research on the iOS app economy.",https://finnhub.io,https://finnhub.io/api/news?id=d2a6af41f2c03b45df131ca351d6ee07ee4af325282b0d506b1b521eb59d3803
2022-05-22,AAPL,Finnhub,Apple Inc. has a buy rating from UBS research. The analyst considers the stock attractive and recommends it with the buy rating.    i.e. 20220526 052726 et aapl is published 202205.052726 and aa,https://finnhub.io,https://finnhub.io/api/news?id=5ccde5a17638fd107cd68a85ed7adc941c1b195104c8cbc24d42429bb3227560
2022-05-23,AAPL,Finnhub, sahai recognized the potential of a device that would bring intelligence right to a users wrist. when apple watch launched in April 2015 sahai recognised the potential for a device with intelligence right on a user's wrist and decided to invest in it.    ,https://finnhub.io,https://finnhub.io/api/news?id=824379e77a3ac26d3c35a31558af23d3ad8117828ae55fac657fa8a1e6d8d6c2
2022-05-24,AAPL,Reuters,Both apps are available in the apple and google app stores and can be downloaded from the App Store and Google Play Store.    iReport this article to a newsfeed you can subscribe to the iReport app to get the latest updates. iReport is a free download,https://www.reuters.com,https://www.reuters.com/technology/us-bill-would-bar-google-apple-hosting-apps-that-accept-chinas-digital-yuan-2022-05-26/
2022-05-25,AAPL,Finnhub,Apple Inc. v. personalized media communications llc ipr201601520 is a division of Apple Inc. see apple.com/ipr2016201520 for more information.    iReport.com.  iReporter.com is a trademark of Apple,https://finnhub.io,https://finnhub.io/api/news?id=121aa327ed5bc310d80109b2559c2b76a9a6f2a3061455030d687c9070c36dc1
