date,title,source,desc,url,img
2023-05-21,Hamel Associates Inc. Boosts Holdings in Microsoft Co. (NASDAQ:MSFT),Defense World,"Hamel Associates Inc. boosted its position in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.7% during the 4th quarter, according to its most recent 13F...",https://www.defenseworld.net/2023/05/21/hamel-associates-inc-boosts-holdings-in-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Legacy Financial Advisors Inc. Purchases 5212 Shares of Microsoft Co. (NASDAQ:MSFT),Defense World,Read Legacy Financial Advisors Inc. Purchases 5212 Shares of Microsoft Co. (NASDAQ:MSFT) at Defense World.,https://www.defenseworld.net/2023/05/21/legacy-financial-advisors-inc-purchases-5212-shares-of-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Stoneridge Investment Partners LLC Purchases 3209 Shares of Microsoft Co. (NASDAQ:MSFT),Defense World,"Stoneridge Investment Partners LLC lifted its position in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 6.6% during the fourth quarter, according to its most...",https://www.defenseworld.net/2023/05/21/stoneridge-investment-partners-llc-purchases-3209-shares-of-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Microsoft Co. (NASDAQ:MSFT) Shares Sold by Symmetry Investments LP,Defense World,"Symmetry Investments LP trimmed its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Get Rating) by 63.3% during the fourth quarter, according to the...",https://www.defenseworld.net/2023/05/21/microsoft-co-nasdaqmsft-shares-sold-by-symmetry-investments-lp.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Compass Financial Advisors LLC Cuts Holdings in Microsoft Co. (NASDAQ:MSFT),Defense World,Read Compass Financial Advisors LLC Cuts Holdings in Microsoft Co. (NASDAQ:MSFT) at Defense World.,https://www.defenseworld.net/2023/05/21/compass-financial-advisors-llc-cuts-holdings-in-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Gyroscope Capital Management Group LLC Boosts Holdings in Microsoft Co. (NASDAQ:MSFT),Defense World,Read Gyroscope Capital Management Group LLC Boosts Holdings in Microsoft Co. (NASDAQ:MSFT) at Defense World.,https://www.defenseworld.net/2023/05/21/gyroscope-capital-management-group-llc-boosts-holdings-in-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Microsoft Co. (NASDAQ:MSFT) Stock Position Lessened by Nicollet Investment Management Inc.,Defense World,Read Microsoft Co. (NASDAQ:MSFT) Stock Position Lessened by Nicollet Investment Management Inc. at Defense World.,https://www.defenseworld.net/2023/05/21/microsoft-co-nasdaqmsft-stock-position-lessened-by-nicollet-investment-management-inc.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Microsoft Co. (NASDAQ:MSFT) is Hills Bank & Trust Co's 6th Largest Position,Defense World,"Hills Bank & Trust Co grew its position in shares of Microsoft Co. (NASDAQ:MSFT – Get Rating) by 2.3% during the fourth quarter, according to the company in...",https://www.defenseworld.net/2023/05/21/microsoft-co-nasdaqmsft-is-hills-bank-trust-cos-6th-largest-position.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,Microsoft Co. (NASDAQ:MSFT) is Synovus Financial Corp's 9th Largest Position,Defense World,"Synovus Financial Corp raised its holdings in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.7% in the 4th quarter, according to its most recent Form 13F...",https://www.defenseworld.net/2023/05/21/microsoft-co-nasdaqmsft-is-synovus-financial-corps-9th-largest-position.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-21,GYL Financial Synergies LLC Increases Position in Microsoft Co. (NASDAQ:MSFT),Defense World,Read GYL Financial Synergies LLC Increases Position in Microsoft Co. (NASDAQ:MSFT) at Defense World.,https://www.defenseworld.net/2023/05/21/gyl-financial-synergies-llc-increases-position-in-microsoft-co-nasdaqmsft.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
