,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
1999-11-01,77.62,80.0,80.69,77.37,0.589785580625759,2487300.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,78.56,,
1999-11-02,80.25,78.0,81.69,77.31,0.609769297155594,3564600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,79.75,,
1999-11-03,81.5,81.62,83.25,81.0,0.619267261285743,2932700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,81.91666666666667,,
1999-11-04,83.62,82.06,85.37,80.62,0.635375808450477,3384700.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,83.20333333333333,,
1999-11-05,88.31,84.62,88.37,84.0,0.671012169866797,3721500.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,75.071153082726,82.26,89.44884691727401,17.47835379838076,0.9207907102224221,,,86.89333333333333,,
1999-11-08,96.37,87.75,97.73,86.75,0.732255042578001,8490400.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,74.28483390309545,86.01,97.73516609690456,27.264657823286964,0.9417847864319396,,,93.61666666666667,,
1999-11-09,89.62,94.37,94.5,88.0,0.680966036275194,7224800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,77.52467492545968,87.884,98.24332507454032,23.57499675604279,0.5837892424221004,,,90.70666666666665,,
1999-11-10,91.44,88.25,93.25,88.12,0.694795072048692,5159800.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,81.56424555008996,89.872,98.17975444991004,18.487970557926907,0.5943696644775639,,,90.93666666666667,,
1999-11-11,92.25,91.59,92.62,89.87,0.700949752805028,2409600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,86.08833721540057,91.598,97.10766278459943,12.030094073231789,0.559168775430546,,,91.58,,
1999-11-12,90.62,91.94,92.0,87.37,0.688564407579314,2491600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,87.41037205789539,92.06,96.70962794210462,10.101299026948979,0.34514890030661316,,,89.99666666666667,,
1999-11-15,89.44,89.62,92.87,88.5,0.679598329440453,2320600.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,88.53725106762634,90.674,92.81074893237367,4.713035561183279,0.21124356696666566,,,90.27,,
1999-11-16,91.19,90.0,91.75,88.5,0.692895479222662,2088000.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,89.11835190476926,90.988,92.85764809523074,4.109658625820424,0.554020861068796,,,90.48,,
1999-11-17,90.25,90.69,94.75,90.0,0.685753010196789,3255100.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,88.86817110235815,90.75,92.63182889764185,4.147281317117031,0.36715051495208806,,,91.66666666666667,,
1999-11-18,89.62,91.06,91.12,88.44,0.680966036275194,3257000.0,-39.71596474045054,0.3502626970227672,0.3502626970227672,0.0,,,31.19314742489458,,,,,,-4.496126502375215,,,,,0.0,,0.0,,3.112857142857152,0.43285714285714505,88.93710606497662,90.224,91.51089393502339,2.8526643354836536,0.26532642529354095,88.00714285714285,88.00714285714285,89.72666666666667,,
1999-11-19,92.44,89.5,92.87,88.06,0.702393443352811,2790300.0,-25.90597453476986,0.37338380896913226,0.3579697343382222,0.015414074630910046,,,48.95387983559488,,,,1.4578942021643955,0.35118574106572903,-0.9362057241762942,34.536832108034226,0.3996763754045307,14.819999999999993,19.093017263591847,0.0,,0.0,1.058571428571428,4.271809523809523,-0.5381904761904792,88.36782343044523,90.588,92.80817656955476,4.901701261877437,0.9170839439971668,89.0657142857143,88.59819047619048,91.12333333333333,,
1999-11-22,90.62,91.75,91.75,89.25,0.688564407579314,1806800.0,-41.554646405610754,0.35668801660986427,0.35754249509543623,-0.0008544784855719634,,,30.26715988491537,,,,1.30269408250217,0.31380026483833784,-2.014692436232917,23.42955457388974,0.2859112213950926,10.370000000000005,12.922118380062312,0.0,,0.0,0.740714285714286,2.8822349206349145,0.3822349206349145,88.91274491498388,90.824,92.73525508501612,4.208700530732235,0.44663192747024855,89.80642857142858,88.86776507936509,90.54,90.93307936507938,
1999-11-23,92.81,91.75,95.25,88.5,0.705204840735335,4851000.0,-28.755113968439517,0.3637553578067315,0.3596134493325347,0.00414190847419682,,,83.77568369787572,,,,1.5286923610719254,0.2815251414231351,0.8388874351594153,30.829749892747472,0.3039505509271703,11.310000000000002,13.877300613496935,0.0,,0.0,0.807857142857143,5.856603597883591,-0.8933964021164087,88.6417709601874,91.148,93.65422903981259,5.499251853716144,0.8315738453266592,90.61428571428571,89.39339640211641,92.18666666666667,91.22953968253968,
1999-11-24,94.69,93.0,95.0,91.69,0.71948977878708,1920600.0,-22.141296431172652,0.3841404782544118,0.3677891256398271,0.016351352614584702,,,161.45062627439532,,,,1.3762528584128384,0.25345176731764846,2.7560611318136217,36.503020431482355,0.2994319718690831,11.069999999999993,13.238459698636682,0.0,,0.0,0.7907142857142853,4.900389784832441,1.590389784832439,88.49785133155771,92.036,95.57414866844229,7.688618950067994,0.8750549014053232,91.405,90.09961021516756,93.79333333333334,92.08610317460317,
1999-11-26,95.06,94.75,95.5,94.12,0.722301176169604,1179200.0,-24.316939890710387,0.4012720905857993,0.3789501139551512,0.02232197663064811,,,183.94474890951687,,,,1.2912778670075309,0.22887317502810392,2.6109825373448787,37.58797359331964,0.206738131699847,6.75,7.643528479220926,0.0,,0.0,0.48214285714285715,4.739004480188115,3.359004480188119,89.89452078501812,93.124,96.35347921498187,6.935868766337097,0.799738730476838,91.88714285714286,90.76099551981189,94.89333333333333,93.25895238095238,
1999-11-29,94.56,94.25,99.75,93.25,0.718501990517545,4144300.0,-41.922455573505644,0.40342950685126105,0.3871099115871879,0.016319595264073172,,,195.14866979655858,,,,1.5710538025027487,0.2072309917560692,0.6919265167996494,34.249682876810645,0.07214029493822256,-1.8100000000000023,-1.8781778561793112,0.0,,0.0,-0.12928571428571445,8.482470549496355,1.9824705494963553,90.23351301103776,93.548,96.86248698896225,7.08617391919067,0.6526631426477336,91.75785714285713,91.26752945050364,95.85333333333334,94.29619841269842,0.13106760789152536
