,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2000-01-03,111.94,104.87,112.5,101.69,0.850561683783142,4783900.0,-2.611940298507476,0.1375045323243043,0.0435503267692167,0.0939542055550874,81.11680688355813,60.60505234541802,233.66379709339972,2.4282775716609564,-0.3257526978317009,2.7540302694926573,1.868233878804276,1.007391439795492,6.321754000867848,29.38167994893608,0.3103117505995204,12.939999999999998,13.07070707070707,50.0,2.904725814664218,7.14659658,0.9242857142857142,10.225286455293483,-0.584713544706517,93.17786867935716,102.788,112.39813132064288,18.698936297316543,0.9761641487843772,100.52642857142858,102.27471354470651,108.71,103.17046031746032,0.0987445061601734
2000-01-04,102.5,108.25,110.62,101.19,0.778833058672254,4574800.0,-46.64179104477613,0.096151098943679,0.0610839174940375,0.0350671814496414,70.23651301894124,71.39076799392271,111.23217837035378,2.26175546740717,-0.3938198416683898,2.65557530907556,1.7294655040941815,0.9697035002708648,-2.0125435540069248,4.597588633793893,0.1623058923633268,7.6299999999999955,8.042584589438173,75.0,2.7189010935338587,9.49324349,0.5449999999999997,8.315248261254354,-1.1147517387456531,95.13322126622975,103.65,112.16677873377024,16.43372645204098,0.4324862112807925,101.07142857142856,102.30475173874564,104.77,104.50455555555553,0.021230309033997
2000-01-05,104.0,103.75,110.56,103.0,0.790230615628433,6949300.0,-45.94594594594594,0.0860730636892507,0.0694136328924419,0.0166594307968087,50.72421764141523,67.35917918130487,123.02091416855924,2.194677181599488,-0.3687185019808572,2.563395683580345,1.6013695240219996,0.8978806625487098,-0.7060439560440284,7.62558847113932,0.1509271237602415,7.0,7.216494845360825,87.5,2.640510101600782,10.48061899,0.5,8.029215159753761,0.4692151597537588,96.32005005020667,104.31199999999998,112.30394994979328,15.323165023762003,0.4804803582379759,101.57142857142856,102.53078484024624,105.85333333333334,105.34123809523808,-0.0943396311147174
2000-01-06,95.0,106.12,107.0,95.0,0.721845273891357,6856900.0,-100.0,-0.0076943605899754,0.0437109683983028,-0.0514053289882782,17.39088430808189,46.11720498947946,-77.78480313933278,1.5858397702071585,-0.7820447306985492,2.367884500905708,1.4830732964115352,1.422527793055908,-7.977443609022609,-10.690407421355458,0.0612169410024043,-3.3100000000000023,-3.3669006204862195,68.75000002,1.9736657830377735,5.2403095,-0.2364285714285716,5.473319805119914,-6.526680194880086,92.48348895881304,103.25,114.01651104118696,20.85522719842513,0.11686752707354,101.335,101.52668019488009,99.0,103.92591269841267,-0.1369442148777586
2000-01-07,99.5,96.5,101.0,95.5,0.756037944759895,4113700.0,-74.28571428571429,-0.0223978287998153,0.0216747026655967,-0.044072531465412,17.792565989554344,28.63588931301716,-81.69180888034647,1.3482705904952184,-0.8156911283283916,2.16396171882361,1.3737828709130633,1.3176990781416438,-2.428140703517613,-1.3985716856025892,0.0087904360056258,-0.5,-0.5,46.87500002,1.707097923387721,2.62015475,-0.0357142857142857,-0.2564561688960793,-5.756456168896079,91.39604288785912,102.588,113.77995711214088,21.819232487505133,0.3620437887199287,101.29928571428572,101.25645616889608,98.66666666666669,102.35999206349209,-0.104904420835068
2000-01-10,97.75,102.0,102.25,94.75,0.742740794977686,4509500.0,-83.09859154929578,-0.0456443940214366,-0.000764996230081,-0.0448793977913556,12.672952328818344,15.9521342088182,-94.28002124104182,1.0406086997091537,-0.8986824152915653,1.9392911150007188,1.3646816798681445,1.220814663024924,-2.8460358056265367,-4.7472935683098925,0.0044146212254988,-0.25,-0.2551020408163265,29.68750004,1.363664106305606,1.31007738,-0.0178571428571428,1.4610713202900598,-6.03892867970994,93.28470804990216,99.75,106.21529195009784,12.962991378642306,0.3453279437775636,101.28142857142858,100.78892867970994,98.25,100.53407936507936,-0.1018947529555698
2000-01-11,92.75,95.94,99.37,90.5,0.704748938457088,3942400.0,-89.77272727272727,-0.099498248683106,-0.0336760803810893,-0.0658221683020166,12.672952328818344,14.37949021573035,-166.86713733693637,0.4871456150071651,-1.161716399994843,1.648862015002008,1.264552805804135,1.4430708283981015,-6.212706969580249,-13.759361868168329,0.1706633992648346,-9.75,-9.51219512195122,17.96875003,0.7521700230388433,0.65503869,-0.6964285714285714,-0.3470715224152911,-9.217071522415296,90.07083445642418,97.8,105.5291655435758,15.806064506290015,0.1733153164123026,100.585,99.7170715224153,94.20666666666666,98.00231746031746,-0.0672368642299159
2000-01-12,87.19,95.0,95.5,86.5,0.662501994006184,8714900.0,-97.34615384615384,-0.1732395723033334,-0.0801972443551707,-0.0930423279481627,4.943685445455191,10.096530034363964,-198.31860993099085,-0.2912842244698197,-1.5521169915774624,1.2608327671076427,1.1719504758051114,1.630312988508799,-8.929595464748472,-22.53615152414261,0.2120405787460502,-12.75,-12.757654592755651,10.546875,-0.106044007579058,0.32751934,-0.9107142857142856,-2.546795319426593,-11.546795319426591,85.84535756591728,94.438,103.03064243408272,18.19742568475131,0.0782438257147295,99.67428571428572,98.0467953194266,89.73,94.11955555555556,-0.1099663079975399
2000-01-13,96.75,94.48,98.75,92.5,0.735142423673566,9220400.0,-60.57692307692308,-0.1323591221553704,-0.0975845369552373,-0.0347745852001331,12.474919998791547,10.030519257688368,-69.81277120221627,-0.3465547452899216,-1.2859100099180516,0.93935526462813,1.323851076207946,1.5111408903871368,2.0462163159838256,-3.106027700020652,0.1020716769998487,-6.75,-6.521739130434782,6.05468749,-0.1822025103757596,0.16375967,-0.4821428571428571,0.876110723163606,-5.373889276836394,85.99214279333735,94.788,103.58385720666264,18.559010015323977,0.6115297778205083,99.19214285714284,97.8738892768364,96.0,92.0662142857143,-0.126925225504552
2000-01-14,100.44,100.0,102.25,99.37,0.763180413785768,3485500.0,-46.384615384615394,-0.0772793661995909,-0.0908161467033552,0.0135367805037642,29.043289092539293,15.487298178928684,18.27570981551496,-0.1688182027846778,-0.8865387739302463,0.7177205711455684,1.4826574500142269,1.4008640603002511,5.30864197530865,3.269662307646217,0.0172177357915586,1.1299999999999957,1.1378511730943464,3.41796876,-0.0044618769048412,0.08187984,0.0807142857142853,4.033962626741797,1.1539626267418015,85.75540045333281,94.976,104.1965995466672,19.416693789309274,0.7962930974469539,99.27285714285712,98.2160373732582,100.68666666666668,92.3443492063492,-0.1884371929145237
