,close,open,high,low,adjusted close,volume,WILLR_14,SMI_7_14_5,SMIs_7_14_5,SMIo_7_14_5,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,CCI_14_0.015,MACD_14_26_9,MACDh_14_26_9,MACDs_14_26_9,DMP_14,DMN_14,CFO_14,CMO_14,ER_14,MOM_14,ROC_14,STC_14_14_28_0.5,STCmacd_14_14_28_0.5,STCstoch_14_14_28_0.5,SLOPE_14,BULLP_14,BEARP_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,SMA_14,EMA_14,VWAP_D,HMA_14,CMF_20
2000-01-03,111.94,104.87,112.5,101.69,0.850561683783142,4783900.0,-2.6119402985074758,0.1375045323243043,0.043550326769216795,0.09395420555508749,81.11680688355813,60.60505234541802,233.66379709339975,2.4282775716609564,-0.3257526978317009,2.7540302694926573,1.8682338788042756,1.007391439795492,6.321754000867848,29.381679948936082,0.31031175059952043,12.939999999999998,13.07070707070707,50.0,2.904725814664218,7.14659658,0.9242857142857142,10.225286455293485,-0.584713544706517,93.17786867935715,102.78800000000001,112.39813132064288,18.698936297316543,0.9761641487843773,100.52642857142858,102.27471354470651,108.71,103.17046031746031,0.09874450616017341
2000-01-04,102.5,108.25,110.62,101.19,0.778833058672254,4574800.0,-46.64179104477613,0.09615109894367903,0.06108391749403754,0.03506718144964149,70.23651301894124,71.39076799392271,111.23217837035378,2.26175546740717,-0.3938198416683898,2.6555753090755596,1.7294655040941815,0.9697035002708649,-2.0125435540069248,4.597588633793893,0.16230589236332688,7.6299999999999955,8.042584589438173,75.0,2.7189010935338587,9.49324349,0.5449999999999997,8.315248261254354,-1.1147517387456531,95.13322126622977,103.65,112.16677873377024,16.43372645204098,0.43248621128079257,101.07142857142857,102.30475173874565,104.77,104.50455555555551,0.021230309033997058
2000-01-05,104.0,103.75,110.56,103.0,0.790230615628433,6949300.0,-45.945945945945944,0.08607306368925073,0.06941363289244194,0.01665943079680879,50.72421764141523,67.35917918130487,123.02091416855923,2.194677181599488,-0.3687185019808572,2.563395683580345,1.6013695240219996,0.8978806625487098,-0.7060439560440284,7.62558847113932,0.1509271237602415,7.0,7.216494845360825,87.5,2.640510101600782,10.48061899,0.5,8.029215159753761,0.4692151597537588,96.32005005020667,104.31199999999998,112.30394994979329,15.323165023762003,0.4804803582379759,101.57142857142857,102.53078484024624,105.85333333333334,105.34123809523807,-0.09433963111471742
2000-01-06,95.0,106.12,107.0,95.0,0.721845273891357,6856900.0,-100.0,-0.007694360589975446,0.04371096839830282,-0.051405328988278265,17.39088430808189,46.11720498947946,-77.78480313933278,1.5858397702071585,-0.7820447306985492,2.3678845009057077,1.4830732964115352,1.422527793055908,-7.977443609022609,-10.690407421355458,0.06121694100240434,-3.3100000000000023,-3.3669006204862195,68.75000002,1.9736657830377737,5.2403095,-0.2364285714285716,5.473319805119914,-6.526680194880086,92.48348895881303,103.25,114.01651104118697,20.85522719842513,0.11686752707354006,101.33500000000001,101.52668019488009,99.0,103.92591269841269,-0.1369442148777586
2000-01-07,99.5,96.5,101.0,95.5,0.756037944759895,4113700.0,-74.28571428571429,-0.022397828799815327,0.021674702665596773,-0.044072531465412096,17.792565989554344,28.63588931301716,-81.69180888034647,1.3482705904952184,-0.8156911283283916,2.16396171882361,1.3737828709130633,1.3176990781416438,-2.4281407035176135,-1.3985716856025892,0.00879043600562588,-0.5,-0.5,46.87500002,1.707097923387721,2.62015475,-0.03571428571428571,-0.25645616889607936,-5.756456168896079,91.39604288785912,102.58800000000001,113.77995711214089,21.819232487505133,0.3620437887199287,101.29928571428572,101.25645616889608,98.66666666666667,102.35999206349207,-0.10490442083506803
2000-01-10,97.75,102.0,102.25,94.75,0.742740794977686,4509500.0,-83.09859154929578,-0.04564439402143666,-0.0007649962300810362,-0.04487939779135563,12.672952328818345,15.9521342088182,-94.28002124104182,1.0406086997091535,-0.8986824152915653,1.9392911150007188,1.3646816798681443,1.220814663024924,-2.8460358056265367,-4.7472935683098925,0.004414621225498853,-0.25,-0.25510204081632654,29.68750004,1.363664106305606,1.31007738,-0.017857142857142856,1.4610713202900598,-6.03892867970994,93.28470804990215,99.75,106.21529195009785,12.962991378642306,0.3453279437775636,101.28142857142858,100.78892867970994,98.25,100.53407936507936,-0.10189475295556988
2000-01-11,92.75,95.94,99.37,90.5,0.704748938457088,3942400.0,-89.77272727272727,-0.09949824868310606,-0.03367608038108937,-0.06582216830201668,12.672952328818345,14.37949021573035,-166.86713733693637,0.48714561500716513,-1.161716399994843,1.6488620150020081,1.2645528058041353,1.4430708283981015,-6.212706969580249,-13.759361868168329,0.1706633992648346,-9.75,-9.512195121951219,17.96875003,0.7521700230388433,0.65503869,-0.6964285714285714,-0.34707152241529116,-9.217071522415296,90.07083445642418,97.8,105.52916554357581,15.806064506290015,0.17331531641230266,100.58500000000001,99.7170715224153,94.20666666666666,98.00231746031746,-0.06723686422991594
2000-01-12,87.19,95.0,95.5,86.5,0.662501994006184,8714900.0,-97.34615384615385,-0.17323957230333345,-0.08019724435517073,-0.09304232794816272,4.943685445455191,10.096530034363965,-198.31860993099085,-0.2912842244698197,-1.5521169915774624,1.2608327671076427,1.1719504758051114,1.630312988508799,-8.929595464748472,-22.53615152414261,0.21204057874605023,-12.75,-12.757654592755653,10.546875,-0.10604400757905807,0.32751934,-0.9107142857142857,-2.546795319426593,-11.546795319426593,85.84535756591728,94.438,103.03064243408272,18.19742568475131,0.07824382571472951,99.67428571428572,98.0467953194266,89.73,94.11955555555556,-0.10996630799753995
2000-01-13,96.75,94.48,98.75,92.5,0.735142423673566,9220400.0,-60.57692307692308,-0.13235912215537043,-0.0975845369552373,-0.03477458520013313,12.474919998791547,10.030519257688367,-69.81277120221627,-0.3465547452899216,-1.2859100099180516,0.9393552646281299,1.323851076207946,1.5111408903871368,2.0462163159838256,-3.106027700020652,0.10207167699984879,-6.75,-6.521739130434782,6.05468749,-0.18220251037575963,0.16375967,-0.48214285714285715,0.876110723163606,-5.373889276836394,85.99214279333735,94.788,103.58385720666264,18.559010015323977,0.6115297778205083,99.19214285714285,97.8738892768364,96.0,92.0662142857143,-0.12692522550455201
2000-01-14,100.44,100.0,102.25,99.37,0.763180413785768,3485500.0,-46.384615384615394,-0.07727936619959093,-0.0908161467033552,0.013536780503764265,29.043289092539293,15.487298178928683,18.275709815514958,-0.16881820278467785,-0.8865387739302463,0.7177205711455684,1.4826574500142267,1.4008640603002511,5.30864197530865,3.2696623076462172,0.01721773579155867,1.1299999999999955,1.1378511730943464,3.41796876,-0.004461876904841233,0.08187984,0.08071428571428539,4.033962626741797,1.1539626267418015,85.75540045333281,94.976,104.19659954666719,19.416693789309274,0.7962930974469539,99.27285714285713,98.2160373732582,100.68666666666667,92.3443492063492,-0.1884371929145237
