symbol,output_size,window_size,data_mode,n_estimators,criterion,min_samples_leaf,max_depth,max_string_lenght:,val_score,test_score,balance_score
GOOGL,3,3,2,10,gini,5,5,10000,0.2727272727272727,0.5333333333333333,0.5384615384615384
TSLA,3,3,2,5,gini,5,4,20000,0.3181818181818182,0.48333333333333334,0.46551724137931033
TSLA,3,7,2,5,gini,5,1,1000,0.3181818181818182,0.6,0.6206896551724138
TSLA,3,7,2,10,gini,5,5,1000,0.3181818181818182,0.5833333333333334,0.603448275862069
TSLA,3,14,2,5,entropy,5,9,10000,0.3181818181818182,0.48333333333333334,0.46551724137931033
TSLA,3,14,2,10,entropy,5,7,20000,0.3181818181818182,0.5333333333333333,0.5344827586206896
AAPL,3,3,2,5,entropy,5,2,10000,0.3181818181818182,0.5,0.46153846153846156
AMZN,7,7,2,5,gini,5,3,20000,0.3409090909090909,0.39285714285714285,0.3888888888888889
GOOGL,7,7,2,10,gini,5,2,10000,0.3409090909090909,0.5357142857142857,0.6
AMZN,7,7,2,10,gini,5,3,10000,0.3409090909090909,0.39285714285714285,0.4074074074074074
GOOGL,7,3,2,5,gini,5,7,500,0.3409090909090909,0.44642857142857145,0.46
TSLA,3,3,2,10,entropy,5,7,20000,0.3409090909090909,0.45,0.4482758620689655
TSLA,3,7,2,5,gini,5,2,1000,0.3409090909090909,0.48333333333333334,0.4827586206896552
TSLA,3,3,2,5,entropy,5,4,10000,0.3409090909090909,0.48333333333333334,0.4827586206896552
AAPL,3,14,2,5,entropy,5,2,1000,0.3409090909090909,0.48333333333333334,0.5384615384615384
AAPL,3,7,2,5,entropy,5,8,10000,0.3409090909090909,0.45,0.46153846153846156
TSLA,7,3,2,5,entropy,5,4,20000,0.3409090909090909,0.48214285714285715,0.4318181818181818
AAPL,3,14,2,5,entropy,5,5,10000,0.3409090909090909,0.6,0.6538461538461539
GOOGL,3,7,2,10,gini,5,6,20000,0.3409090909090909,0.5166666666666667,0.5961538461538461
AMZN,7,14,2,5,entropy,5,2,10000,0.3409090909090909,0.6428571428571429,0.6481481481481481
GOOGL,3,14,2,10,entropy,5,6,20000,0.3409090909090909,0.43333333333333335,0.4807692307692308
AAPL,3,3,2,5,entropy,5,6,20000,0.3409090909090909,0.4666666666666667,0.4807692307692308
TSLA,3,7,2,5,entropy,5,5,1000,0.3409090909090909,0.5333333333333333,0.5344827586206896
AMZN,3,3,2,5,gini,5,5,1000,0.3409090909090909,0.5833333333333334,0.5370370370370371
AMZN,3,14,2,5,entropy,5,6,1000,0.3409090909090909,0.4666666666666667,0.46296296296296297
GOOGL,3,3,2,5,entropy,5,10,10000,0.3409090909090909,0.5333333333333333,0.5384615384615384
AAPL,3,3,2,5,gini,5,10,20000,0.3409090909090909,0.5333333333333333,0.5384615384615384
AAPL,7,3,2,5,gini,5,8,500,0.3409090909090909,0.42857142857142855,0.5
AAPL,3,7,2,10,gini,5,1,20000,0.36363636363636365,0.55,0.5576923076923077
AAPL,3,3,2,5,entropy,5,9,500,0.36363636363636365,0.6666666666666666,0.6346153846153846
TSLA,3,7,2,10,gini,5,9,1000,0.36363636363636365,0.55,0.5344827586206896
GOOGL,7,7,2,5,gini,5,8,1000,0.36363636363636365,0.5892857142857143,0.6
GOOGL,7,14,2,10,gini,5,4,20000,0.36363636363636365,0.44642857142857145,0.42
TSLA,3,7,2,5,gini,5,7,10000,0.36363636363636365,0.5833333333333334,0.603448275862069
GOOGL,7,7,2,5,gini,5,5,1000,0.36363636363636365,0.35714285714285715,0.32
MSFT,7,7,2,5,gini,5,8,500,0.36363636363636365,0.5178571428571429,0.5
TSLA,3,7,2,5,entropy,5,4,20000,0.36363636363636365,0.43333333333333335,0.4482758620689655
GOOGL,3,3,2,10,gini,5,6,10000,0.36363636363636365,0.45,0.4807692307692308
TSLA,3,3,2,5,gini,5,9,20000,0.36363636363636365,0.4166666666666667,0.43103448275862066
AMZN,3,7,2,10,gini,5,2,20000,0.36363636363636365,0.55,0.5555555555555556
TSLA,3,7,2,10,gini,5,8,20000,0.36363636363636365,0.48333333333333334,0.4827586206896552
AAPL,3,7,2,5,gini,5,7,1000,0.36363636363636365,0.5833333333333334,0.6153846153846154
TSLA,3,14,2,10,gini,5,7,20000,0.36363636363636365,0.5833333333333334,0.5689655172413793
AMZN,3,14,2,5,entropy,5,10,1000,0.36363636363636365,0.6333333333333333,0.6296296296296297
GOOGL,3,14,2,5,gini,5,10,20000,0.36363636363636365,0.48333333333333334,0.5384615384615384
TSLA,3,14,2,5,gini,5,8,20000,0.36363636363636365,0.48333333333333334,0.5
AMZN,3,14,2,5,gini,5,1,1000,0.36363636363636365,0.4166666666666667,0.35185185185185186
GOOGL,3,14,2,10,gini,5,6,10000,0.36363636363636365,0.45,0.4807692307692308
GOOGL,3,14,2,5,gini,5,6,10000,0.36363636363636365,0.45,0.4807692307692308
AMZN,3,3,2,10,gini,5,1,1000,0.36363636363636365,0.45,0.4074074074074074
TSLA,3,14,2,5,entropy,5,1,10000,0.36363636363636365,0.5166666666666667,0.5172413793103449
AAPL,3,3,2,10,gini,5,7,20000,0.36363636363636365,0.48333333333333334,0.4807692307692308
TSLA,3,14,2,5,gini,5,4,10000,0.36363636363636365,0.38333333333333336,0.3793103448275862
TSLA,3,14,2,10,entropy,5,7,1000,0.36363636363636365,0.43333333333333335,0.4482758620689655
TSLA,3,14,2,10,gini,5,8,1000,0.36363636363636365,0.5166666666666667,0.5172413793103449
AAPL,3,3,2,10,entropy,5,3,10000,0.36363636363636365,0.5666666666666667,0.5961538461538461
TSLA,3,3,2,5,gini,5,1,1000,0.36363636363636365,0.6,0.5862068965517241
TSLA,3,3,2,5,gini,5,4,1000,0.36363636363636365,0.5166666666666667,0.5172413793103449
TSLA,3,3,2,5,entropy,5,10,1000,0.36363636363636365,0.5666666666666667,0.5517241379310345
AAPL,3,3,2,5,gini,5,1,10000,0.36363636363636365,0.5166666666666667,0.5384615384615384
TSLA,3,3,2,10,gini,5,8,1000,0.36363636363636365,0.5666666666666667,0.5517241379310345
AAPL,3,7,2,5,gini,5,5,500,0.36363636363636365,0.43333333333333335,0.4807692307692308
TSLA,3,3,2,100,entropy,5,3,1000,0.36363636363636365,0.5833333333333334,0.5862068965517241
TSLA,3,3,2,5,gini,5,4,10000,0.36363636363636365,0.5666666666666667,0.5689655172413793
AAPL,3,7,2,10,gini,5,7,1000,0.36363636363636365,0.4166666666666667,0.4423076923076923
TSLA,3,3,2,10,gini,5,7,10000,0.36363636363636365,0.48333333333333334,0.4827586206896552
GOOGL,3,3,2,10,entropy,5,2,20000,0.36363636363636365,0.4166666666666667,0.46153846153846156
TSLA,3,7,2,5,entropy,5,1,1000,0.36363636363636365,0.6166666666666667,0.6206896551724138
AAPL,3,7,2,5,entropy,5,1,20000,0.36363636363636365,0.4666666666666667,0.4423076923076923
AAPL,3,14,2,5,entropy,5,3,10000,0.36363636363636365,0.35,0.38461538461538464
AAPL,3,14,2,5,entropy,5,4,1000,0.36363636363636365,0.5,0.4807692307692308
AAPL,3,14,2,5,entropy,5,1,20000,0.36363636363636365,0.45,0.46153846153846156
AAPL,3,14,2,5,gini,5,10,10000,0.36363636363636365,0.65,0.6923076923076923
MSFT,3,3,2,5,gini,5,1,1000,0.36363636363636365,0.6333333333333333,0.64
MSFT,3,3,2,5,gini,5,9,1000,0.36363636363636365,0.43333333333333335,0.5
GOOGL,7,7,2,10,gini,5,5,500,0.36363636363636365,0.4107142857142857,0.38
AMZN,7,7,2,5,gini,5,5,20000,0.36363636363636365,0.5,0.5
GOOGL,3,7,2,10,gini,5,8,20000,0.36363636363636365,0.4666666666666667,0.4807692307692308
AAPL,3,14,2,5,gini,5,7,20000,0.36363636363636365,0.6666666666666666,0.6730769230769231
AAPL,3,14,2,10,gini,5,6,10000,0.36363636363636365,0.48333333333333334,0.5384615384615384
AAPL,3,14,2,5,gini,5,7,1000,0.38636363636363635,0.4166666666666667,0.46153846153846156
AMZN,3,3,2,10,gini,5,2,1000,0.38636363636363635,0.48333333333333334,0.46296296296296297
AMZN,3,7,2,5,gini,5,9,1000,0.38636363636363635,0.4666666666666667,0.4444444444444444
AAPL,3,3,2,10,entropy,5,4,10000,0.38636363636363635,0.5333333333333333,0.5769230769230769
GOOGL,3,3,2,5,gini,5,10,20000,0.38636363636363635,0.4666666666666667,0.4807692307692308
GOOGL,7,7,2,5,gini,5,10,20000,0.38636363636363635,0.3392857142857143,0.4
GOOGL,7,7,2,5,gini,5,2,20000,0.38636363636363635,0.42857142857142855,0.42
MSFT,7,3,2,5,gini,5,2,20000,0.38636363636363635,0.5714285714285714,0.6666666666666666
TSLA,3,14,2,10,entropy,5,6,10000,0.38636363636363635,0.5333333333333333,0.5344827586206896
GOOGL,3,3,2,5,gini,5,5,20000,0.38636363636363635,0.5666666666666667,0.5961538461538461
MSFT,3,7,2,5,entropy,5,7,1000,0.38636363636363635,0.48333333333333334,0.52
AAPL,3,3,2,5,gini,5,4,10000,0.38636363636363635,0.48333333333333334,0.4807692307692308
TSLA,3,3,2,5,gini,5,8,500,0.38636363636363635,0.5333333333333333,0.5344827586206896
AMZN,7,7,2,5,gini,5,8,10000,0.38636363636363635,0.6071428571428571,0.6111111111111112
AAPL,7,3,2,5,entropy,5,7,20000,0.38636363636363635,0.5178571428571429,0.5
AAPL,7,3,2,5,entropy,5,1,20000,0.38636363636363635,0.48214285714285715,0.4722222222222222
AAPL,14,7,2,5,entropy,5,2,500,0.38636363636363635,0.4489795918367347,0.5357142857142857
GOOGL,3,7,2,10,gini,5,9,20000,0.38636363636363635,0.5,0.5576923076923077
GOOGL,7,7,2,10,gini,5,9,1000,0.38636363636363635,0.4642857142857143,0.48
TSLA,3,7,2,100,entropy,5,9,20000,0.38636363636363635,0.5666666666666667,0.5689655172413793
AMZN,3,7,2,10,gini,5,2,500,0.38636363636363635,0.5666666666666667,0.5185185185185185
GOOGL,7,7,2,5,entropy,5,6,1000,0.38636363636363635,0.5535714285714286,0.56
AAPL,3,14,2,5,gini,5,8,20000,0.38636363636363635,0.6,0.5769230769230769
AMZN,3,14,2,5,gini,5,6,1000,0.38636363636363635,0.55,0.5
MSFT,3,3,2,5,entropy,5,3,1000,0.38636363636363635,0.48333333333333334,0.56
AMZN,7,7,2,10,gini,5,3,500,0.38636363636363635,0.5178571428571429,0.5185185185185185
AMZN,3,7,2,10,entropy,5,3,10000,0.38636363636363635,0.4666666666666667,0.46296296296296297
AAPL,3,3,2,10,gini,5,3,20000,0.38636363636363635,0.5666666666666667,0.5384615384615384
MSFT,7,3,2,5,gini,5,8,10000,0.38636363636363635,0.625,0.6944444444444444
TSLA,3,3,2,100,entropy,5,8,1000,0.38636363636363635,0.55,0.5517241379310345
AMZN,7,14,2,5,gini,5,2,500,0.38636363636363635,0.4107142857142857,0.4074074074074074
TSLA,3,3,2,5,gini,5,5,10000,0.38636363636363635,0.55,0.5517241379310345
AMZN,3,7,2,5,entropy,5,8,10000,0.38636363636363635,0.4666666666666667,0.4074074074074074
GOOGL,7,3,2,100,entropy,5,2,10000,0.38636363636363635,0.4107142857142857,0.46
AAPL,3,3,2,10,gini,5,2,1000,0.38636363636363635,0.5833333333333334,0.5576923076923077
AAPL,3,3,2,5,entropy,5,8,1000,0.38636363636363635,0.4,0.4423076923076923
AAPL,3,14,2,5,entropy,5,10,10000,0.38636363636363635,0.5666666666666667,0.6346153846153846
