output_size,window_size,data_mode,C,gamma,max_string_lenght,score
3,3,0,10000.0,0.001,500,0.6363636363636364
3,3,2,5000.0,0.0005,500,0.5227272727272727
3,14,1,100000.0,0.0001,10000,0.75
3,7,1,50000.0,0.0001,500,0.7272727272727273
3,3,1,100000.0,0.1,20000,0.5227272727272727
3,7,2,50000.0,0.0001,20000,0.7272727272727273
3,14,2,100000.0,0.0001,20000,0.75
3,14,0,50000.0,0.001,1000,0.6363636363636364
3,7,0,100000.0,0.0005,1000,0.6363636363636364
7,3,2,100000.0,0.005,500,0.5227272727272727
7,14,0,100000.0,0.0005,500,0.5909090909090909
7,7,2,100000.0,0.0001,20000,0.7727272727272727
7,3,0,50000.0,0.0005,1000,0.5909090909090909
7,7,0,1000.0,0.0001,500,0.5909090909090909
7,3,1,100000.0,0.005,10000,0.5227272727272727
7,14,1,5000.0,0.0001,20000,0.9090909090909091
7,14,2,1000.0,0.0001,500,0.9090909090909091
7,7,1,5000.0,0.0001,20000,0.7727272727272727
14,7,2,1000.0,0.0001,500,0.8636363636363636
14,14,2,5000.0,0.0001,1000,0.9090909090909091
14,14,0,50000.0,0.0001,10000,0.7954545454545454
14,3,0,50000.0,0.0001,1000,0.7954545454545454
14,7,1,5000.0,0.0001,500,0.8636363636363636
14,14,1,1000.0,0.0001,500,0.9090909090909091
14,3,1,1000.0,0.0001,500,0.6818181818181818
14,3,2,1000.0,0.0001,20000,0.6818181818181818
14,7,0,50000.0,0.0001,500,0.7954545454545454
