,date,4. close,1. open,2. high,3. low,6. volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO
0,1999-11-01,77.62,80.0,80.69,77.37,2487300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1999-11-02,80.25,78.0,81.69,77.31,3564600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1999-11-03,81.5,81.62,83.25,81.0,2932700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999-11-04,83.62,82.06,85.37,80.62,3384700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1999-11-05,88.31,84.62,88.37,84.0,3721500.0,,,,,,,,,,,,,,,,,,,,,,,,,75.071153082726,82.26,89.44884691727401,17.47835379838076,0.9207907102224221,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1999-11-08,96.37,87.75,97.73,86.75,8490400.0,,,,,,,,,,,,,,,,,,,,,,,,,74.28483390309545,86.01,97.73516609690456,27.264657823286964,0.9417847864319396,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1999-11-09,89.62,94.37,94.5,88.0,7224800.0,,,,,,,,,,,,,,,,,,,,,,,,,77.52467492545968,87.884,98.24332507454032,23.57499675604279,0.5837892424221004,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1999-11-10,91.44,88.25,93.25,88.12,5159800.0,,,,,,,,,,,,,,,,,,,,,,,,,81.56424555008996,89.872,98.17975444991004,18.487970557926907,0.5943696644775639,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1999-11-11,92.25,91.59,92.62,89.87,2409600.0,,,,,,,,,,,,,,,,,,,,,,,,,86.08833721540057,91.598,97.10766278459943,12.030094073231789,0.559168775430546,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1999-11-12,90.62,91.94,92.0,87.37,2491600.0,87.16,87.16,,,,,,,,,,,,,,,,,,,,,,,87.41037205789539,92.06,96.70962794210462,10.101299026948979,0.34514890030661316,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1999-11-15,89.44,89.62,92.87,88.5,2320600.0,88.34200000000001,87.57454545454544,,,,,,,,,,,91.74003703703703,,,,,,,,,11.819999999999993,,,88.53725106762634,90.674,92.81074893237367,4.713035561183279,0.21124356696666566,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1999-11-16,91.19,90.0,91.75,88.5,2088000.0,89.436,88.23190082644626,,,,,,,,,,,90.78533333333333,,,,,,,,,10.939999999999998,,,89.11835190476926,90.988,92.85764809523074,4.109658625820424,0.554020861068796,,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1999-11-17,90.25,90.69,94.75,90.0,3255100.0,90.311,88.59882794891057,,,,,,,,,,,90.23318518518518,,,,,,,,,8.75,6.866923076923072,2.1169230769230722,88.86817110235815,90.75,92.63182889764185,4.147281317117031,0.36715051495208806,,-1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1999-11-18,89.62,91.06,91.12,88.44,3257000.0,90.911,88.78449559456318,,,,,,,,,,,89.88118518518517,,,,,,,-39.71596474045054,,6.0,2.9887912087912127,0.3087912087912059,88.93710606497662,90.224,91.51089393502339,2.8526643354836536,0.26532642529354095,,-1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1999-11-19,92.44,89.5,92.87,88.06,2790300.0,91.324,89.44913275918806,,,,,,,,,,,90.4964074074074,67.26841605401711,,,,,,-25.90597453476986,,4.1299999999999955,4.123249607535328,-0.6867503924646741,88.36782343044523,90.588,92.80817656955476,4.901701261877437,0.9170839439971668,,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
15,1999-11-22,90.62,91.75,91.75,89.25,1806800.0,90.749,89.66201771206295,,,,,,,,,,,90.89055555555554,61.71477728694487,,,,,,-41.554646405610754,,-5.75,2.7356425207445483,0.23564252074454828,88.91274491498388,90.824,92.73525508501612,4.208700530732235,0.44663192747024855,,-1,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
16,1999-11-23,92.81,91.75,95.25,88.5,4851000.0,91.068,90.2343781280515,,,,,,,,,,,91.73688888888888,65.41487494637373,,,,,,-28.755113968439517,,3.1899999999999977,5.693407874923892,-1.056592125076108,88.6417709601874,91.148,93.65422903981259,5.499251853716144,0.8315738453266592,,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
17,1999-11-24,94.69,93.0,95.0,91.69,1920600.0,91.393,91.0444911956785,,,,,,,,,,,93.09329629629633,68.25151021574118,,,,,,-22.141296431172652,,3.25,4.710063892791908,1.4000638927919056,88.49785133155771,92.036,95.57414866844229,7.688618950067994,0.8750549014053232,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,1999-11-26,95.06,94.75,95.5,94.12,1179200.0,91.674,91.77458370555513,,,,,,,,,,,94.538,68.79398679665982,,,,,,-24.316939890710387,,2.8100000000000023,4.528626193821637,3.1486261938216416,89.89452078501812,93.124,96.35347921498187,6.935868766337097,0.799738730476838,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,1999-11-29,94.56,94.25,99.75,93.25,4144300.0,92.06800000000001,92.28102303181782,89.614,89.614,,,,,,,,,95.48185185185186,67.12484143840531,,,,,,-41.922455573505644,117.82635094110506,3.9399999999999977,8.265965308989962,1.765965308989962,90.23351301103776,93.548,96.86248698896225,7.08617391919067,0.6526631426477336,,1,1,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,1999-11-30,97.87,98.12,103.75,97.37,7528400.0,92.91099999999999,93.29720066239639,90.6265,90.40028571428572,,,,,,,,,96.71685185185186,71.97286820447742,,,,,,-35.897435897435884,196.314644048677,8.430000000000007,11.353684550562818,4.973684550562822,91.73287764394652,94.998,98.26312235605349,6.8740865198288,0.9397997512521025,,1,1,1,1,0,0,0,0,0,0,0,0,-1.0,0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
21,1999-12-01,103.06,101.0,104.5,100.06,5522900.0,94.098,95.07225508741521,91.76700000000001,91.60597278911565,,,,,,,,,99.39344444444446,77.5605679445216,,,,,,-8.406304728546399,231.3890237637836,11.870000000000005,10.58030104333956,6.140301043339562,90.56588429600332,97.048,103.53011570399669,13.358576588897623,0.9637374797470197,,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
22,1999-12-02,110.19,103.12,110.62,101.75,5065700.0,96.09200000000001,97.82093598061245,93.20150000000001,93.3758801425332,,,,,,,,,104.48314814814815,82.67170106106711,,,,,,-1.8494623655914255,258.12898085667376,19.939999999999998,14.37597232286248,5.505972322862476,88.4305163110845,100.148,111.86548368891549,23.40033488220532,0.9285049702906578,,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
23,1999-12-03,115.0,112.19,115.56,111.87,5785000.0,98.63,100.94440216595562,94.7705,95.43532012895861,,,,,,,,,111.06937037037035,85.13204974680183,,,,,,-2.0363636363636473,273.1306896941432,25.379999999999995,16.63654770531069,12.946547705310692,88.98878322595202,104.13600000000001,119.283216774048,29.091220661534894,0.858613736175397,,1,1,1,1,0,0,0,0,0,0,0,0,0.0,0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
24,1999-12-06,116.0,114.56,117.31,111.44,4167700.0,100.98599999999999,103.68178359032733,96.155,97.39386106905779,,,,,,,,,116.74940740740739,85.5901288019845,,,,,,-4.478632478632482,213.06558437214264,23.560000000000002,15.947040890266308,10.077040890266304,94.45495651091312,108.424,122.39304348908689,25.767438000971897,0.7711710363676165,,1,1,1,1,0,0,0,0,0,0,0,0,1.0,0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0
