,date,4. close,1. open,2. high,3. low,6. volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_30,EMA_30,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,HMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,WILLR_14,CCI_20_0.015,MOM_10,BULLP_13,BEARP_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,UO_7_14_28,s_SMA_10,s_EMA_10,s_SMA_20,s_EMA_20,s_SMA_30,s_EMA_30,s_SMA_50,s_EMA_50,s_SMA_100,s_EMA_100,s_SMA_200,s_EMA_200,s_HMA,s_MACD,s_RSI,s_STOCHRSI,s_WILLR,s_MOM,s_ERI,s_CCI,s_BBANDS,s_UO
0,1999-11-01,92.37,93.25,94.19,92.12,26630600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1999-11-02,92.56,92.75,94.5,91.94,23174500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1999-11-03,92.0,92.94,93.5,91.5,22258500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1999-11-04,91.75,92.31,92.75,90.31,27119700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1999-11-05,91.56,91.81,92.87,90.5,35083700.0,,,,,,,,,,,,,,,,,,,,,,,,,91.30230301060016,92.048,92.79369698939985,1.6202350717013867,0.17278934544663174,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1999-11-08,89.94,84.81,90.75,84.37,121909600.0,,,,,,,,,,,,,,,,,,,,,,,,,89.80607745045518,91.562,93.31792254954482,3.8354831688797106,0.03813452637177435,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1999-11-09,88.87,89.75,89.87,86.44,54884900.0,,,,,,,,,,,,,,,,,,,,,,,,,88.3939020595869,90.824,93.25409794041309,5.351224214773829,0.09795859098834636,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1999-11-10,87.12,88.12,89.12,86.44,34692700.0,,,,,,,,,,,,,,,,,,,,,,,,,86.38904293174951,89.848,93.30695706825048,7.699574989427665,0.10566148319097274,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1999-11-11,89.62,88.25,90.44,88.25,34637300.0,,,,,,,,,,,,,,,,,,,,,,,,,86.52614364997157,89.422,92.31785635002842,6.476831987717619,0.5341867786359749,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1999-11-12,89.19,89.75,90.0,87.06,24707100.0,90.498,90.498,,,,,,,,,,,,,,,,,,,,,,,86.97987805255876,88.94800000000001,90.91612194744125,4.425331536271186,0.5614799302234839,,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1999-11-15,87.0,88.25,88.5,86.94,23540200.0,89.961,89.862,,,,,,,,,,,87.74000000000001,,,,,,,,,-5.3700000000000045,,,86.18306637675838,88.36,90.53693362324162,4.927418794118659,0.18763402212170954,,-1,-1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
